rank	Youtuber	Channel_contents	Primary_Language	subscribers	video views	category	Title	uploads	Country	Abbreviation	channel_type	video_views_rank	country_rank	channel_type_rank	video_views_for_the_last_30_days	lowest_monthly_earnings	highest_monthly_earnings	lowest_yearly_earnings	highest_yearly_earnings	subscribers_for_last_30_days	created_year	created_month	created_date	Gross tertiary education enrollment (%)	Population	Unemployment rate	Urban_population	Latitude	Longitude
488	jaanvi patel	NA	NA	17700000	7912733203	People & Blogs	jaanvi patel	512	India	IN	People	671	84	30	346753000	86700	1400000	1000000	16600000	0	2018	Jul	18	281	1366417754	536	471031528	20593684	7896288
489	tanboy kun	Indonesian YouTuber known for culinary content and cooking vlogs.	Indonesian	17700000	3647267655	People & Blogs	tanboy kun	739	Indonesia	ID	Entertainment	2169	17	122	48174000	12000	192700	144500	2300000	0	2016	Oct	27	363	270203917	469	151509724	-789275	113921327
490	Lil Pump	Official channel of rapper Lil Pump, offering music videos and lifestyle content.	English	17700000	4196061192	Music	Lil Pump	60	United States	US	Music	1785		108	9243000	0	0	0	0	0	2015	Oct	15	882	328239523	147	270663028	3709024	-95712891
491	Porta dos Fundos	Brazilian comedy channel with skits and parodies.	Portuguese	17700000	7739048000	Entertainment	Porta dos Fundos	2240	Brazil	BR	Entertainment	705	27	123	35337000	8800	141300	106000	1700000	0	2012	Mar	12	513	212559417	1208	183241641	-14235004	-5192528
492	News 24	NA	NA	17700000	8396875537	News & Politics	24 ????	211620	Ukraine	UA	News	880	24	112	370779000	92700	1500000	1100000	17800000	0	2006	Feb	5	827	44385155	888	30835699	48379433	3116558
493	Les' Copaque Production	"Malaysian animation studio known for the ""Upin & Ipin"" animated series."	Malay	17700000	9059696049	Film & Animation	Les' Copaque Production	1716	Malaysia	MY	Entertainment	531	1	123	117727000	29400	470900	353200	5700000	0	2009	Nov	9	451	32447385	332	24475766	4210484	101975766
494	El Payaso Plim Plim	Channel offers children's content featuring the character Plim Plim.	Spanish	17700000	17247584185	Film & Animation	El Payaso Plim Plim	1316	Argentina	AR	Music	162	10	107	640030000	160000	2600000	1900000	30700000	0	2013	Oct	18	900	44938712	979	41339571	-38416097	-63616672
495	zbing z.	Thai YouTuber known for gaming content and playful vlogs.	Thai	17600000	9269174070	Gaming	zbing z.	3151	Thailand	TH	Games	511	7	36	55127000	13800	220500	165400	2600000	0	2014	Mar	12	493	69625582	75	35294600	15870032	100992541
496	MissaSinfonia	Mexican YouTuber who combines humor with music and animated content.	Spanish	17600000	2274007523	Comedy	MissaSinfonia	233	Mexico	MX	Comedy	4139	17	25	27445000	6900	109800	82300	1300000	0	2011	Jan	5	402	126014024	342	102626859	23634501	-102552784
497	Liziqi	Chinese YouTuber known for her videos on traditional Chinese food and country living.	Chinese	17600000	2977741577	Howto & Style	Liziqi	128	China	CN	Howto	2917	1	16	22354000	5600	89400	67100	1100000	0	2017	Aug	22	506	1397715000	432	842933962	3586166	104195397
498	The Game Theorists	Channel that explores the lore and science behind popular video games.	English	17600000	3752347262	Gaming	TheGameTheorists	0	Australia	AU		3612215	6095			0	0	0	0	0				1131	25766605	527	21844756	-25274398	133775136
499	DeGoBooM	Spanish-language gaming channel, likely with a focus on fun and interactive content.	Spanish	17600000	6306204566	Gaming	DeGoBooM	4702	Chile	CL	Games	973	3	36	100215000	25100	400900	300600	4800000	0	2014	Feb	1	885	18952038	709	16610135	-35675147	-71542969
500	JFlaMusic	Korean singer known for her vocal covers of popular songs on YouTube.	Korean	17600000	3802280098	Music	JFlaMusic	326	South Korea	KR	Music	2056	12	109	11099000	2800	44400	33300	532700	0	2011	Aug	22	943	51709098	415	42106719	35907757	127766922
501	FactTechz	Channel providing interesting facts and educational content.	Hindi	17500000	2238134438	Entertainment	FactTechz	709	India	IN	Entertainment	4243	86	124	21056000	5300	84200	63200	1000000	0	2016	Jul	24	281	1366417754	536	471031528	20593684	7896288
502	News18 India	News channel delivering the latest updates and news in India.	Hindi	17500000	7263619576	News & Politics	News18 India	182742	India	IN	News	770	85	10	394106000	98500	1600000	1200000	18900000	0	2007	Oct	25	281	1366417754	536	471031528	20593684	7896288
503	Fun For Kids TV - Hindi Rhymes	Channel offering animated Hindi nursery rhymes and children's songs.	Hindi	17500000	7612385622	Entertainment	Fun For Kids TV - Hindi Rhymes	149	India	IN	Entertainment	723	86	124	109847000	27500	439400	329500	5300000	0	2017	Sep	27	281	1366417754	536	471031528	20593684	7896288
504	IGN	Leading media outlet for video game and entertainment news, reviews, and guides.	English	17500000	16107116549	Gaming	IGN	156215	United States	US	Games	189	129	37	98342000	24600	393400	295000	4700000	0	2006	Sep	19	882	328239523	147	270663028	3709024	-95712891
505	Aphmau	Gamer known for Minecraft roleplays and various gaming content.	English	17400000	17763586483	Gaming	Aphmau	4411	United States	US	Games	152	129	37	439870000	110000	1800000	1300000	21100000	0	2012	Aug	13	882	328239523	147	270663028	3709024	-95712891
506	AMARINTV	Thai TV station providing news, entertainment, and original content.	Thai	17400000	13043561912	Entertainment	AMARINTV	118448	Thailand	TH	News	286	8	11	235993000	59000	944000	708000	11300000	0	2014	Feb	5	493	69625582	75	35294600	15870032	100992541
507	Al-Remas	Possibly a channel related to Arabic music or entertainment.	Arabic	17400000	11144195464	Music	Al-Remas	2133	Iraq	IQ	Music	371	1	110	113003000	28300	452000	339000	5400000	0	2013	Sep	27	162	39309783	1282	27783368	33223191	43679291
508	Koray Zeynep	NA	NA	17400000	16560557488	People & Blogs	Koray Zeynep	2078	Turkey	TR	People	173		31	426389000	106600	1700000	1300000	20500000	0	2016	Jul	8	239	83429615	1349	63097818	38963745	35243322
509	Apple	Official channel of Apple Inc. featuring product announcements and advertisements.	English	17300000	1026425106	Science & Technology	Apple	180	United States	US	Tech	11274	130	9	46484000	11600	185900	139500	2200000	0	2005	Jun	22	882	328239523	147	270663028	3709024	-95712891
510	Stubborn Facts	NA	NA	17300000	902225615	Film & Animation	Stubborn Facts	287	India	IN	Entertainment	13315	87	125	837850	209	3400	2500	40200	0	2016	Sep	5	281	1366417754	536	471031528	20593684	7896288
511	Taarak Mehta Ka Ooltah Chashmah	Channel related to the popular Indian sitcom of the same name.	Hindi	17300000	11371738047	Entertainment	Taarak Mehta Ka Ooltah Chashmah	4778	India	IN	Entertainment	356	87	125	331944000	83000	1300000	995800	15900000	0	2014	Aug	4	281	1366417754	536	471031528	20593684	7896288
512	HowToBasic	"Channel known for absurd and comedic ""how-to"" tutorials."	English	17300000	3684816159	Howto & Style	HowToBasic	582	Australia	AU	Howto	2146	6	17	15525000	3900	62100	46600	745200	0	2011	Dec	8	1131	25766605	527	21844756	-25274398	133775136
513	PopularMMOs	Gaming channel with a focus on Minecraft, challenges, and mod reviews.	English	17200000	14573155899	Gaming	PopularMMOs	4685	United States	US	Games	240		38	15296000	3800	61200	45900	734200	0	2012	Apr	17	882	328239523	147	270663028	3709024	-95712891
514	Marques Brownlee	Tech reviewer known for in-depth analyses and reviews of consumer electronics.	English	17200000	3606912471	Science & Technology	Marques Brownlee	1567	United States	US	Tech	2196	131	10	52325000	13100	209300	157000	2500000	0	2008	Mar	21	882	328239523	147	270663028	3709024	-95712891
515	Anitta	Official channel of Brazilian singer Anitta, featuring her music and videos.	Portuguese	17200000	7337212581	Music	Anitta	138	Brazil	BR	Music	769	28	111	72684000	18200	290700	218100	3500000	0	2011	Nov	2	513	212559417	1208	183241641	-14235004	-5192528
516	Jason Vlogs	Channel documenting the life of a young boy named Jason and his daily activities.	English	17200000	8903647480	Education	Jason Oo	83	Australia	AU	People	4031958	3450	7408	25	1	1	8	1	0	2014	Sep	11	1131	25766605	527	21844756	-25274398	133775136
517	El Reino a Jugar	Spanish children's channel with songs and educational content.	Spanish	17200000	11445492404	Education	El Reino a Jugar	1007	Argentina	AR	Education	353	11	28	83709000	20900	334800	251100	4000000	0	2015	Mar	3	900	44938712	979	41339571	-38416097	-63616672
518	Willyrex	Spanish gamer and YouTuber focused on various video games.	Spanish	17200000	5024088947	Gaming	Willyrex	7550	Spain	ES	Games	1359	9	38	15405000	3900	61600	46200	739500	0	2009	Aug	9	889	47076781	1396	37927409	40463667	-374922
519	TheBrianMaps	Russian YouTuber known for vlogs, challenges, and comedic content.	Russian	17100000	4448334716	Comedy	TheBrianMaps	498	Russia	RU	Entertainment	1624	6	126	37164000	9300	148700	111500	1800000	0	2012	Jun	4	819	144373535	459	107683889	6152401	105318756
520	TRANS TV Official	Indonesian TV channel offering a variety of shows and entertainment.	Indonesian	17100000	9710962528	Entertainment	TRANS TV Official	148225	Indonesia	ID	Entertainment	472	18	127	45811000	11500	183200	137400	2200000	0	2014	Sep	2	363	270203917	469	151509724	-789275	113921327
521	Liza Koshy	Internet personality known for her comedic videos and challenges.	English	17100000	2173106162	Comedy	Liza Koshy	142	United States	US	Entertainment	4443	132	127	1761000	440	7000	5300	84500	0	2013	Sep	2	882	328239523	147	270663028	3709024	-95712891
522	Queen Official	Official channel for the British rock band Queen.	English	17000000	10847948832	Music	Queen Official	1015	United Kingdom	GB	Music	385	21	112	93768000	23400	375100	281300	4500000	0	2008	Jul	7	600	66834405	385	55908316	55378051	-3435973
523	Prajapati News	NA	NA	17000000	1001465469	Comedy	Prajapati News	1407	India	IN	Entertainment	11662	89	128	7626000	1900	30500	22900	366100	0	2013	Mar	14	281	1366417754	536	471031528	20593684	7896288
524	Gaby and Alex	Channel featuring two siblings engaging in play and educational activities.	English	17000000	8229883114	Entertainment	gabyandalex	1	United States	US	People	4057752		7732		0	0	0	0	0	2008	Aug	21	882	328239523	147	270663028	3709024	-95712891
525	LuisFonsiVEVO	"VEVO channel for Puerto Rican singer Luis Fonsi, known for ""Despacito."""	Spanish	17000000	14543594822	Music	LuisFonsiVEVO	97	United States	US	Music	241	133	112	49817000	12500	199300	149500	2400000	0	2009	May	12	882	328239523	147	270663028	3709024	-95712891
526	Pop Chartbusters	Channel offering a mix of music videos and Indian pop content.	Hindi	16900000	8684010451	Music	Pop Chartbusters	2235	India	IN	Music	574	90	113	72911000	18200	291600	218700	3500000	0	2011	Aug	26	281	1366417754	536	471031528	20593684	7896288
527	Guava Juice	YouTuber known for his challenge videos, DIYs, and experiments.	English	16900000	9111000228	Gaming	Guava Juice	1910	United States	US	Entertainment	527	134	129	10889000	2700	43600	32700	522600	0	2006	Jul	18	882	328239523	147	270663028	3709024	-95712891
528	EeOneGuy	Entertainer and gamer providing content in Russian.	Russian	16900000	3827906874	Entertainment	EeOneGuy	366	United States	US	Entertainment	2039	134	129	1635000	409	6500	4900	78500	0	2013	Mar	19	882	328239523	147	270663028	3709024	-95712891
529	VICE	Channel for the global youth media company focusing on investigative journalism and documentary.	English	16900000	4609753237	Entertainment	VICE	3900	United States	US	Entertainment	1543	134	129	36357000	9100	145400	109100	1700000	0	2005	Dec	16	882	328239523	147	270663028	3709024	-95712891
530	Aayu and Pihu Show	Indian kids' channel featuring challenges, skits, and family-friendly entertainment.	Hindi	16900000	9270331567	Comedy	Aayu and Pihu Show	441	India	IN	People	510	90	34	89782000	22400	359100	269300	4300000	0	2017	May	8	281	1366417754	536	471031528	20593684	7896288
531	Danny Fitt	NA	NA	16900000	9544277833	People & Blogs	Danny Fitt	2337	United States	US	Entertainment	488	134	129	275264000	68800	1100000	825800	13200000	0	2016	Dec	31	882	328239523	147	270663028	3709024	-95712891
532	Bispo Bruno Leonardo	NA	NA	16900000	3523578665	Nonprofits & Activism	Bispo Bruno Leonardo	4891	Brazil	BR	Nonprofit	2307	29	2	149543000	37400	598200	448600	7200000	0	2016	Apr	10	513	212559417	1208	183241641	-14235004	-5192528
533	DeToxoMoroxo	Channel featuring lists, curiosities, and interesting facts, likely in Spanish.	Spanish	16800000	2315962318	Entertainment	de toxomoroxo	1	Mexico	MX	Music	4056488		5767		0	0	0	0	0	2016	Apr	30	402	126014024	342	102626859	23634501	-102552784
534	Doggy Doggy Cartoons	Children's channel with animated cartoons.	English	16800000	6518418501	Entertainment	Doggy Doggy Cartoons	0	Spain	ES		4057944				0	0	0	0	0	2018	Nov	11	889	47076781	1396	37927409	40463667	-374922
535	deepesh zo	NA	NA	16800000	7206462713	People & Blogs	deepesh zo	41	India	IN	People	4038822		7611	1	0	0	0	5	0	2021	Sep	24	281	1366417754	536	471031528	20593684	7896288
536	Like Nastya IDN	Indonesian version of Like Nastya, featuring a child influencer's family-friendly vlogs.	Indonesian	16800000	7195314800	Entertainment	Like Nastya IDN	502	Indonesia	ID	Entertainment	795	19	130	42836000	10700	171300	128500	2100000	0	2019	Nov	22	363	270203917	469	151509724	-789275	113921327
537	Gato Galactico	Brazilian channel featuring animations and family-friendly content.	Portuguese	16800000	3693798804	Film & Animation	Gato Galactico	1491	Brazil	BR	Entertainment	2129	30	130	44121000	11000	176500	132400	2100000	0	2013	Apr	2	513	212559417	1208	183241641	-14235004	-5192528
538	Salman Noman	NA	NA	16700000	10393037902	Entertainment	salman Noman	3	India	IN		4057674			7	0	3	2	34	0	2022	May	14	281	1366417754	536	471031528	20593684	7896288
539	CoryxKenshin	Gamer known for his comedic commentary and playthroughs.	English	16700000	7102965621	Gaming	CoryxKenshin	1693	United States	US	Games	814	135	39	105114000	26300	420500	315300	5000000	0	2009	Apr	27	882	328239523	147	270663028	3709024	-95712891
540	With Kids 	NA	NA	16700000	8826138204	Entertainment	With Kids 	920	United States	US	Entertainment	559	135	130	45698000	11400	182800	137100	2200000	0	2012	Jul	6	882	328239523	147	270663028	3709024	-95712891
541	Travis Scott	Official channel for the American rapper and singer-songwriter.	English	16700000	7979736581	Music	Travis Scott	13	United States	US	Music	564542	1920	1751	37623	9	150	113	1800	0	2010	Sep	1	882	328239523	147	270663028	3709024	-95712891
542	Tu COSMOPOLIS	Channel offering videos on varied topics, likely in Spanish.	Spanish	16700000	5089284369	People & Blogs	Tu COSMOPOLIS	8741	Mexico	MX	People	1337	19	35	16139000	4000	64600	48400	774700	0	2014	Aug	28	402	126014024	342	102626859	23634501	-102552784
543	Ivana Alawi	Filipina actress and YouTuber sharing vlogs and personal life content.	Tagalog	16600000	1318442641	People	Ivana Alawi	180	Philippines	PH	People	8338	5	36	15079000	3800	60300	45200	723800	0	2018	Jun	1	355	108116615	215	50975903	12879721	121774017
544	Werever2morro	Mexican YouTuber creating comedic content and vlogs.	Spanish	16600000	2798273962	Entertainment	werever2morro	0	Mexico	MX	Games	4057944	4248	7462		0	0	0	0	0	2010	Dec	7	402	126014024	342	102626859	23634501	-102552784
545	IDEAS EN 5 MINUTOS	Spanish-language channel with a variety of life hacks and DIYs.	Spanish	16600000	3696973456	Howto & Style	Ideas En 5 Minutos	216	Spain	ES	Howto	3108857	2753		65470	16	262	196	3100	0	2017	Apr	2	889	47076781	1396	37927409	40463667	-374922
546	NMF News	Channel providing news content, likely in Hindi.	Hindi	16600000	7435180827	News & Politics	NMF News	112261	India	IN	News	749	91	12	59201000	14800	236800	177600	2800000	0	2013	Oct	22	281	1366417754	536	471031528	20593684	7896288
547	SriBalajiMovies	Indian channel known for Telugu movies, scenes, and songs.	Telugu	16600000	9439857193	Entertainment	SriBalajiMovies	20102	India	IN	Entertainment	497	91	132	154049000	38500	616200	462100	7400000	0	2011	Sep	29	281	1366417754	536	471031528	20593684	7896288
548	Lahari Music - TSeries	Music label channel showcasing South Indian music content.	Telugu	16600000	11946217860	Music	Lahari Music - TSeries	8976	India	IN	Music	326	91	115	89012000	22300	356000	267000	4300000	0	2011	Nov	21	281	1366417754	536	471031528	20593684	7896288
549	Younes Zarou	NA	NA	16600000	15278668857	Entertainment	Younes Zarou	2200	Germany	DE	Entertainment	213	4	131	617257000	154300	2500000	1900000	29600000	0	2021	May	6	702	83132799	304	64324835	51165691	10451526
550	Jordan Matter	Photographer sharing unique photography challenges and projects.	English	16600000	5819508534	Entertainment	Jordan Matter	413	United States	US	Entertainment	1088	136	132	199033000	49800	796100	597100	9600000	0	2006	Dec	21	882	328239523	147	270663028	3709024	-95712891
551	FailArmy	Channel dedicated to compilations of fails and humorous clips.	English	16500000	3037260680	Comedy	FailArmy	438	United States	US	Entertainment	2766	137	133	112986000	28200	451900	339000	5400000	0	2011	Jul	5	882	328239523	147	270663028	3709024	-95712891
552	BBC News Hindi	Official BBC channel providing news in Hindi.	Hindi	16500000	7043235131	News & Politics	BBC News Hindi	21243	India	IN	News	821	92	13	131202000	32800	524800	393600	6300000	0	2009	Sep	22	281	1366417754	536	471031528	20593684	7896288
553	FunFun Toy Doll TV	Children's entertainment channel, possibly in Korean.	Korean	16500000	7406207930	Entertainment	FunFun Toy Doll TV	735	United States	US	Entertainment	757	137	133	24378000	6100	97500	73100	1200000	0	2016	May	31	882	328239523	147	270663028	3709024	-95712891
554	Sandra Cires Art	Cuban YouTuber known for music, vlogs, and beauty content.	Spanish	16400000	3955426159	Howto & Style	Sandra Cires Art	1091	United States	US	Howto	1938	138	134	18028000	4500	72100	54100	865300	0	2011	Sep	27	882	328239523	147	270663028	3709024	-95712891
555	Kaykai Salaider	Thai YouTuber producing entertainment and lifestyle content.	Thai	16400000	4434679706	Comedy	Kaykai Salaider	428	Thailand	TH	Entertainment	1636	9	134	9341000	2300	37400	28000	448400	0	2011	Jan	24	493	69625582	75	35294600	15870032	100992541
556	UFC - Ultimate Fighting Championship	Official channel for the UFC with fight highlights and athlete news.	English	16400000	7135820721	Sports	UFC - Ultimate Fighting Championship	14662	United States	US	Sports	806	138	7	133208000	33300	532800	399600	6400000	0	2006	Mar	4	882	328239523	147	270663028	3709024	-95712891
557	Ch7HD	Thai television channel offering dramas and entertainment shows.	Thai	16400000	9463244435	Entertainment	Ch7HD	56203	Thailand	TH	Entertainment	496	9	134	87757000	21900	351000	263300	4200000	0	2010	May	17	493	69625582	75	35294600	15870032	100992541
558	RCTI - LAYAR DRAMA INDONESIA	Indonesian TV channel with drama series and entertainment.	Indonesian	16400000	13478392540	Entertainment	RCTI - LAYAR DRAMA INDONESIA	1	Indonesia	ID	People	4057943		7724		0	0	0	0	0	2020	Oct	19	363	270203917	469	151509724	-789275	113921327
559	Alfredo Larin	NA	NA	16400000	14431830557	Entertainment	Alfredo Larin	1	El Salvador	SV	Entertainment	4057780		6788	1	0	0	0	5	0	2015	Nov	23	294	6453553	411	4694702	13794185	-8889653
560	GMMTV OFFICIAL??	Official channel for GMMTV, a Thai entertainment company.	Thai	16400000	12844432341	Entertainment	GMMTV OFFICIAL??	23952	Thailand	TH	Entertainment	294	9	134	181382000	45300	725500	544100	8700000	0	2010	Sep	13	493	69625582	75	35294600	15870032	100992541
561	Matt Stonie	Competitive eater sharing food challenges and eating feats.	English	16300000	3527627264	Entertainment	MattStonie	54	United States	US	Entertainment	283499	1874	1836	29735	7	119	89	1400	0	2010	Jun	19	882	328239523	147	270663028	3709024	-95712891
562	Boyce Avenue	Band known for their covers of popular songs and original music.	English	16300000	6578828147	Music	Boyce Avenue	490	United States	US	Music	913	139	117	28787000	7200	115100	86400	1400000	0	2007	Sep	2	882	328239523	147	270663028	3709024	-95712891
563	Camila Cabello	Official channel for the artist Camila Cabello, featuring music and videos.	English	16300000	6613422635	Music	Camila Cabello	80	United States	US	Music	906	139	117	42704000	10700	170800	128100	2000000	0	2015	Aug	11	882	328239523	147	270663028	3709024	-95712891
564	Little Mix	Official channel for the British girl group Little Mix.	English	16300000	7520242626	Music	Little Mix	278	United Kingdom	GB	Music	740	22	117	38604000	9700	154400	115800	1900000	0	2011	Nov	30	600	66834405	385	55908316	55378051	-3435973
565	SAM SMITH	Official channel for the British singer and songwriter Sam Smith.	English	16300000	10170264839	Music	SAM SMITH	230	United Kingdom	GB	Entertainment	428	22	135	85778000	21400	343100	257300	4100000	0	2012	Sep	14	600	66834405	385	55908316	55378051	-3435973
566	Pitbull	Official channel for the rapper Pitbull, featuring music videos and performances.	English	16300000	12475714382	Music	Pitbull	352	United States	US	Music	308	139	117	88004000	22000	352000	264000	4200000	0	2006	Jul	5	882	328239523	147	270663028	3709024	-95712891
567	Bollywood Classics	Channel offering classic Bollywood movie songs and scenes.	Hindi	16300000	7141825267	Entertainment	Bollywood Classics	1444	India	IN	Music	804	93	116	151477000	37900	605900	454400	7300000	0	2011	Oct	13	281	1366417754	536	471031528	20593684	7896288
568	Technoblade	Gamer known for Minecraft content and streams.	English	16300000	1656452554	Gaming	Technoblade	989	United States	US	Games	6274	138	40	17944000	4500	71800	53800	861300	0	2013	Oct	28	882	328239523	147	270663028	3709024	-95712891
569	W2S	YouTuber known for vlogs, challenges, and FIFA-related content.	English	16300000	4768370464	Gaming	W2S	652	United Kingdom	GB	Entertainment	1455	22	135	3079000	770	12300	9200	147800	0	2012	Jul	26	600	66834405	385	55908316	55378051	-3435973
570	Jennifer Lopez	Official channel for singer and actress Jennifer Lopez.	English	16200000	10227242833	Music	Jennifer Lopez	258	United States	US	Music	426	140	118	63441000	15900	253800	190300	3000000	0	2005	Nov	18	882	328239523	147	270663028	3709024	-95712891
571	Kids Play	NA	NA	16200000	8091706232	Entertainment	Kids Play	593	United States	US	Entertainment	636	140	136	25912000	6500	103600	77700	1200000	0	2018	May	14	882	328239523	147	270663028	3709024	-95712891
572	T3ddy	Brazilian YouTuber known for vlogs, reactions, and gaming content.	Portuguese	16200000	2990185467	Comedy	T3ddy	1930	Brazil	BR	People	2898	31	38	33015000	8300	132100	99000	1600000	0	2012	Jan	16	513	212559417	1208	183241641	-14235004	-5192528
573	JJ Olatunji	YouTuber and musician, also known as KSI's brother.	English	16200000	4076692623	Gaming	JJ Olatunji	1294	United Kingdom	GB	Entertainment	1856	23	136	27808000	7000	111200	83400	1300000	0	2011	Jan	26	600	66834405	385	55908316	55378051	-3435973
574	POPS Kids	Vietnamese children's channel featuring songs and educational content.	Vietnamese	16200000	9763592867	Music	POPS Kids	3943	Vietnam	VN	Film	462	2	30	256733000	64200	1000000	770200	12300000	0	2014	Jan	14	285	96462106	201	35332140	14058324	108277199
575	Thairath Online	Online news channel from Thailand's largest newspaper.	Thai	16200000	14563841315	News & Politics	Thairath Online	244899	Thailand	TH	News	238	10	14	224756000	56200	899000	674300	10800000	0	2010	Sep	27	493	69625582	75	35294600	15870032	100992541
576	LEGO	Official channel for LEGO, featuring product announcements and animations.	English	16200000	20522339099	Entertainment	LEGO	31889	Singapore	SG	Entertainment	116	1	136	117209000	29300	468800	351600	5600000	0	2005	Oct	22	848	5703569	411	5703569	1352083	103819836
577	XO TEAM	TikTok collective known for their creative content and dance videos.	Russian	16200000	14784781923	People & Blogs	XO TEAM Family	189	United States	US	People	153622	1776	1495	37911	9	152	114	1800	0	2020	Sep	12	882	328239523	147	270663028	3709024	-95712891
578	AdMe	Russian channel providing life hacks, tips, and entertainment.	Russian	16200000	4488680903	Entertainment	Aday C?????	10	Spain	ES	Music	4048675	4228	5766	4	0	2	1	19	0	2006	May	2	889	47076781	1396	37927409	40463667	-374922
579	ExtraPolinesios	Spanish-speaking YouTubers sharing challenges, vlogs, and travel content.	Spanish	16200000	4813127504	People & Blogs	Extra polinesios	2	Mexico	MX	People	3945744		7359	510	13	2	2	24	0	2015	Nov	21	402	126014024	342	102626859	23634501	-102552784
580	Dyland PROS	Indonesian gaming YouTuber known for Minecraft and other gaming content.	Indonesian	16100000	1517638132	Entertainment	Dyland PROS	2805	Indonesia	ID	Games	6986	21	41	9619000	2400	38500	28900	461700	0	2015	Jan	28	363	270203917	469	151509724	-789275	113921327
581	Vlad and Niki ARA	Arabic version of the popular kids' channel featuring two brothers.	Arabic	16100000	7399296005	Entertainment	Vlad and Niki ARA	510	United States	US	Entertainment	759	141	137	32011000	8000	128000	96000	1500000	0	2019	May	24	882	328239523	147	270663028	3709024	-95712891
582	Canal IN	NA	NA	16100000	2687443643	People & Blogs	Canal IN	723	Brazil	BR	Entertainment	3338	32	137	13802000	3500	55200	41400	662500	0	2017	Jul	21	513	212559417	1208	183241641	-14235004	-5192528
583	TWICE	Official channel for the South Korean girl group TWICE.	Korean	16100000	5055576881	Music	TWICE	1123	South Korea	KR	Music	1343		119	98720000	24700	394900	296200	4700000	0	2016	Mar	27	943	51709098	415	42106719	35907757	127766922
584	Daily Dose Of Internet	Channel curates interesting, strange, and funny internet videos.	English	16100000	6872702790	Entertainment	Daily Dose Of Internet	671	United States	US	Entertainment	851	140	136	399807000	100000	1600000	1200000	19200000	0	2015	Jul	15	882	328239523	147	270663028	3709024	-95712891
585	FitDance	Channel offering dance workouts and choreography.	Portuguese	16100000	7126210721	Music	Fitdance Academy	41	France	FR	Entertainment	4006012	3726	6335	780	2	3	2	37	0	2006	Nov	20	656	67059887	843	54123364	46227638	2213749
586	Panda Shorts	Likely a channel for short clips, possibly related to the Panda channel.	NA	16100000	7155736006	Sports	Panda Shorts	667	Sweden	SE	Sports	792	2	8	478528000	119600	1900000	1400000	23000000	0	2020	Nov	21	670	10285453	648	9021165	60128161	18643501
587	Disney Junior	Official channel for Disney Junior, featuring content for young children.	English	16100000	15812009296	Entertainment	Disney Junior	4045	United States	US	Entertainment	196	140	136	267131000	66800	1100000	801400	12800000	0	2008	Apr	22	882	328239523	147	270663028	3709024	-95712891
588	La Rosa de Guadalupe	Channel for the Mexican anthology television series.	Spanish	16100000	9642146451	Entertainment	larosadeguadalupe	0	Mexico	MX	Games	4057944	4258	7472		0	0	0	0	0	2008	Sep	3	402	126014024	342	102626859	23634501	-102552784
589	sagar kalra (Shorts)	Channel likely featuring short-form content, creator-specific details unclear.	NA	16000000	6543629679	People & Blogs	sagar kalra (Shorts)	453	India	IN	People	921		39	74062000	18500	296200	222200	3600000	0	2017	Jun	30	281	1366417754	536	471031528	20593684	7896288
590	wifistudy	Educational channel providing study materials and lectures in Hindi.	Hindi	16000000	3018032423	Education	wifistudy by Unacademy	52144	India	IN	Education	2855	94	30	14287000	3600	57100	42900	685800	0	2014	Jul	26	281	1366417754	536	471031528	20593684	7896288
591	Antrax	Spanish YouTuber known for gaming and entertainment content.	Spanish	16000000	3029872908	Gaming	Antrax	687	Mexico	MX	Games	2844	23	42	4698000	1200	18800	14100	225500	0	2015	May	25	402	126014024	342	102626859	23634501	-102552784
592	Enes Batur	Turkish YouTuber featuring vlogs, gaming, and entertainment.	Turkish	16000000	9786595271	Gaming	enesbatur	0	Turkey	TR	Games	4057944		7360		0	0	0	0	0	2007	Mar	4	239	83429615	1349	63097818	38963745	35243322
593	Totoy kids - Espana	Spanish version of the Totoy kids channel with children's content.	Spanish	16000000	5997599089	Film & Animation	Totoy kids - Espana	344	Mexico	MX	Film	1048	23	31	112393000	28100	449600	337200	5400000	0	2017	Sep	7	402	126014024	342	102626859	23634501	-102552784
594	Kung Fu Panda RU	Likely a Russian channel related to Kung Fu Panda.	Russian	15900000	1845329502	People & Blogs	Kung Fu Panda RU	0	Russia	RU	Games	4057944	3309	5665		0	0	0	0	0	2017	May	27	819	144373535	459	107683889	6152401	105318756
595	DopeLyrics	Channel provides lyrics videos for popular songs.	English	15900000	9962188084	Music	DopeLyrics	2035	United States	US	Music	444	142	120	9915000	2500	39700	29700	475900	0	2016	Jun	9	882	328239523	147	270663028	3709024	-95712891
596	jeffreestar	Beauty influencer known for makeup tutorials and cosmetic reviews.	English	15900000	2609358468	Howto & Style	jeffreestar	433	United States	US	Howto	3474	142	20	2006000	502	8000	6000	96300	0	2006	Feb	14	882	328239523	147	270663028	3709024	-95712891
597	Lyna	Spanish-speaking YouTuber with gaming content and vlogs.	Spanish	15900000	6534326412	Gaming	Lyna	4906	Argentina	AR	Games	919	12	43	64085000	16000	256300	192300	3100000	0	2014	Sep	8	900	44938712	979	41339571	-38416097	-63616672
598	MK MUSIC	A music channel, language and region specifics are unclear.	NA	15900000	9198986881	Music	MK MUSIC	5105	Brazil	BR	Music	516	33	120	136388000	34100	545600	409200	6500000	0	2010	Jan	18	513	212559417	1208	183241641	-14235004	-5192528
